word,length,first_letter,last_letter,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
swound,6,s,d,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0
burgee,6,b,e,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
myxoma,6,m,a,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0
champaign,9,c,n,2,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
qadi,4,q,i,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cubage,6,c,e,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
nonwoven,8,n,n,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,1,0,0,0
cyanoses,8,c,s,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,0
anhinga,7,a,a,2,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
wacke,5,w,e,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
blastocoel,10,b,l,1,1,1,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,1,0,0,0,0,0,0
hieroglyphical,14,h,l,1,0,1,0,1,0,1,2,2,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,1,0
gurges,6,g,s,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
diencephalon,12,d,n,1,0,1,1,2,0,0,1,1,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0
lidocaines,10,l,s,1,0,1,1,1,0,0,0,2,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
machinator,10,m,r,2,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0
philanthropism,14,p,m,1,0,0,0,0,0,0,2,2,0,0,1,1,1,1,2,0,1,1,1,0,0,0,0,0,0
externs,7,e,s,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0
cornhusk,8,c,k,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0
festally,8,f,y,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0
perjuriously,12,p,y,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,2,1,0,2,0,0,0,1,0
setae,5,s,e,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
cavy,4,c,y,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
druse,5,d,e,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
spirogyras,10,s,s,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,1,0
gossamery,9,g,y,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,1,0
unturned,8,u,d,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,2,0,0,0,0,0
presentnesses,13,p,s,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,1,0,1,4,1,0,0,0,0,0,0
passerine,9,p,e,1,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0
fanfaron,8,f,n,2,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0
fogbow,6,f,w,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
toxoplasmosis,13,t,s,1,0,0,0,0,0,0,0,1,0,0,1,1,0,3,1,0,0,3,1,0,0,0,1,0,0
lapsus,6,l,s,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0
orchardist,10,o,t,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0
cyclosporine,12,c,e,0,0,2,0,1,0,0,0,1,0,0,1,0,1,2,1,0,1,1,0,0,0,0,0,1,0
orgiast,7,o,t,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
woolfell,8,w,l,0,0,0,0,1,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0
uncomely,8,u,y,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0
cataleptically,14,c,y,3,0,2,0,1,0,0,0,1,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,1,0
episcopalianism,15,e,m,2,0,1,0,1,0,0,0,3,0,0,1,1,1,1,2,0,0,2,0,0,0,0,0,0,0
calends,7,c,s,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
hypothermal,11,h,l,1,0,0,0,1,0,0,2,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0
projective,10,p,e,0,0,1,0,2,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0
bacchants,9,b,s,2,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
noncandidate,12,n,e,2,0,1,2,1,0,0,0,1,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0
paretic,7,p,c,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
fundaments,10,f,s,1,0,0,1,1,1,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,0,0,0,0,0
derrises,8,d,s,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
integrations,12,i,s,1,0,0,0,1,0,1,0,2,0,0,0,0,2,1,0,0,1,1,2,0,0,0,0,0,0
refractors,10,r,s,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,3,1,1,0,0,0,0,0,0
prehumans,9,p,s,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0
inchoative,10,i,e,1,0,1,0,1,0,0,1,2,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
ovotestis,9,o,s,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2,2,0,1,0,0,0,0
isoprene,8,i,e,0,0,0,0,2,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0
aider,5,a,r,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
isosteric,9,i,c,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0
fibromata,9,f,a,2,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0
kurrajongs,10,k,s,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,2,1,0,1,0,0,0,0,0
aurifies,8,a,s,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
pathoneurosis,13,p,s,1,0,0,0,1,0,0,1,1,0,0,0,0,1,2,1,0,1,2,1,1,0,0,0,0,0
nutgall,7,n,l,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0
cryptocrystalline,17,c,e,1,0,2,0,1,0,0,0,1,0,0,2,0,1,1,1,0,2,1,2,0,0,0,0,2,0
lazaretto,9,l,o,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,0,0,0,0,0,1
embryonically,13,e,y,1,1,1,0,1,0,0,0,1,0,0,2,1,1,1,0,0,1,0,0,0,0,0,0,2,0
spoonfeeds,10,s,s,0,0,0,1,2,1,0,0,0,0,0,0,0,1,2,1,0,0,2,0,0,0,0,0,0,0
pongids,7,p,s,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
ergative,8,e,e,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
understander,12,u,r,1,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,2,1,1,1,0,0,0,0,0
aspersing,9,a,g,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0
exocrine,8,e,e,0,0,1,0,2,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0
cybernetician,13,c,n,1,1,2,0,2,0,0,0,2,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0
idolist,7,i,t,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
lingually,9,l,y,1,0,0,0,0,0,1,0,1,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,1,0
clapperclaw,11,c,w,2,0,2,0,1,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,1,0,0,0
shofar,6,s,r,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
boscage,7,b,e,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
felloe,6,f,e,0,0,0,0,2,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
firkins,7,f,s,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
ejaculators,11,e,s,2,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0
weaner,6,w,r,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
phosphoproteins,15,p,s,0,0,0,0,1,0,0,2,1,0,0,0,0,1,3,3,0,1,2,1,0,0,0,0,0,0
forlornnesses,13,f,s,0,0,0,0,2,1,0,0,0,0,0,1,0,2,2,0,0,2,3,0,0,0,0,0,0,0
tontine,7,t,e,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0
hydroscope,10,h,e,0,0,1,1,1,0,0,1,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,1,0
backsaws,8,b,s,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
adagietto,9,a,o,2,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
darnings,8,d,s,1,0,0,1,0,0,1,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0
silvicultures,13,s,s,0,0,1,0,1,0,0,0,2,0,0,2,0,0,0,0,0,1,2,1,2,1,0,0,0,0
circumnutate,12,c,e,1,0,2,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,2,2,0,0,0,0,0
domicil,7,d,l,0,0,1,1,0,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
silkweeds,9,s,s,0,0,0,1,2,0,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0
girandoles,10,g,s,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0
galleried,9,g,d,1,0,0,1,2,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
outmost,7,o,t,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,2,1,0,0,0,0,0
distributary,12,d,y,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,1,0
soliloquist,11,s,t,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,1,0,2,1,1,0,0,0,0,0
euphorbiaceous,14,e,s,1,1,1,0,2,0,0,1,1,0,0,0,0,0,2,1,0,1,1,0,2,0,0,0,0,0
unallied,8,u,d,1,0,0,1,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0
uhlan,5,u,n,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
tincted,7,t,d,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
heterogony,10,h,y,0,0,0,0,2,0,1,1,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,1,0
thoria,6,t,a,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
adumbral,8,a,l,2,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
anaphrodisiac,13,a,c,3,0,1,1,0,0,0,1,2,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0
pepsinate,9,p,e,1,0,0,0,2,0,0,0,1,0,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0
hartal,6,h,l,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
knighthead,10,k,d,1,0,0,1,1,0,1,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
aggrievedly,11,a,y,1,0,0,1,2,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
gerontocracy,12,g,y,1,0,2,0,1,0,1,0,0,0,0,0,0,1,2,0,0,2,0,1,0,0,0,0,1,0
variolous,9,v,s,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,1,0,1,1,0,0,0,0
matrilineally,13,m,y,2,0,0,0,1,0,0,0,2,0,0,3,1,1,0,0,0,1,0,1,0,0,0,0,1,0
pastorali,9,p,i,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0
mandarinate,11,m,e,3,0,0,1,1,0,0,0,1,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0
seismometer,11,s,r,0,0,0,0,3,0,0,0,1,0,0,0,2,0,1,0,0,1,2,1,0,0,0,0,0,0
infrangibility,14,i,y,1,1,0,0,0,1,1,0,4,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,1,0
inductor,8,i,r,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0
methylic,8,m,c,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
marshalship,11,m,p,2,0,0,0,0,0,0,2,1,0,0,1,1,0,0,1,0,1,2,0,0,0,0,0,0,0
vinic,5,v,c,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
trigraph,8,t,h,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0
quaquaversal,12,q,l,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,2,1,0,0,0,0
sporogonium,11,s,m,0,0,0,0,0,0,1,0,1,0,0,0,1,1,3,1,0,1,1,0,1,0,0,0,0,0
descendible,11,d,e,0,1,1,2,3,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
tughriks,8,t,s,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
monthlong,9,m,g,0,0,0,0,0,0,1,1,0,0,0,1,1,2,2,0,0,0,0,1,0,0,0,0,0,0
plesiosaur,10,p,r,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,2,0,1,0,0,0,0,0
bacteroid,9,b,d,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
nonaggressive,13,n,e,1,0,0,0,2,0,2,0,1,0,0,0,0,2,1,0,0,1,2,0,0,1,0,0,0,0
hydromel,8,h,l,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0
chemoprophylaxis,16,c,s,1,0,1,0,1,0,0,2,1,0,0,1,1,0,2,2,0,1,1,0,0,0,0,1,1,0
tartrates,9,t,s,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0
methodic,8,m,c,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
anastomose,10,a,e,2,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,2,1,0,0,0,0,0,0
externality,11,e,y,1,0,0,0,2,0,0,0,1,0,0,1,0,1,0,0,0,1,0,2,0,0,0,1,1,0
bechamel,8,b,l,1,1,1,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
resettable,10,r,e,1,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0
unexercised,11,u,d,0,0,1,1,3,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0
sponsorships,12,s,s,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,2,0,1,4,0,0,0,0,0,0,0
bifacial,8,b,l,2,1,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apriorism,9,a,m,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,2,1,0,0,0,0,0,0,0
ventriculi,10,v,i,0,0,1,0,1,0,0,0,2,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0
sensuosity,10,s,y,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,3,1,1,0,0,0,1,0
gametophore,11,g,e,1,0,0,0,2,0,1,1,0,0,0,0,1,0,2,1,0,1,0,1,0,0,0,0,0,0
maladapted,10,m,d,3,0,0,2,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
radiationally,13,r,y,3,0,0,1,0,0,0,0,2,0,0,2,0,1,1,0,0,1,0,1,0,0,0,0,1,0
hindguts,8,h,s,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
beefeaters,10,b,s,1,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
evapotranspiration,18,e,n,3,0,0,0,1,0,0,0,2,0,0,0,0,2,2,2,0,2,1,2,0,1,0,0,0,0
dolichocephaly,14,d,y,1,0,2,1,1,0,0,2,1,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,1,0
chigoes,7,c,s,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
merle,5,m,e,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
florilegium,11,f,m,0,0,0,0,1,1,1,0,2,0,0,2,1,0,1,0,0,1,0,0,1,0,0,0,0,0
perviously,10,p,y,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0
heterolysis,11,h,s,0,0,0,0,2,0,0,1,1,0,0,1,0,0,1,0,0,1,2,1,0,0,0,0,1,0
complimentarily,15,c,y,1,0,1,0,1,0,0,0,2,0,0,2,2,1,1,1,0,1,0,1,0,0,0,0,1,0
kerseymere,10,k,e,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0
pastorship,10,p,p,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,1,2,1,0,0,0,0,0,0
zenana,6,z,a,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
easeful,7,e,l,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
predestinating,14,p,g,1,0,0,1,2,0,1,0,2,0,0,0,0,2,0,1,0,1,1,2,0,0,0,0,0,0
uphroe,6,u,e,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
clonus,6,c,s,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0
whapped,7,w,d,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
colonics,8,c,s,0,0,2,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0
currish,7,c,h,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0
axeman,6,a,n,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
propjets,8,p,s,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,1,1,1,0,0,0,0,0,0
fittingnesses,13,f,s,0,0,0,0,2,1,1,0,2,0,0,0,0,2,0,0,0,0,3,2,0,0,0,0,0,0
theosopher,10,t,r,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0
unpredicted,11,u,d,0,0,1,2,2,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0
turbidimeter,12,t,r,0,1,0,1,2,0,0,0,2,0,0,0,1,0,0,0,0,2,0,2,1,0,0,0,0,0
depositional,12,d,l,1,0,0,1,1,0,0,0,2,0,0,1,0,1,2,1,0,0,1,1,0,0,0,0,0,0
lanneret,8,l,t,1,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0
repellency,10,r,y,0,0,1,0,3,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,1,0
rinser,6,r,r,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0
epistasis,9,e,s,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0
galliard,8,g,d,2,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
consociate,10,c,e,1,0,2,0,1,0,0,0,1,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0
absquatulate,12,a,e,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,2,0,0,0,0,0
oxycephalies,12,o,s,1,0,1,0,2,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0
transpadane,11,t,e,3,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,1,1,1,0,0,0,0,0,0
kedge,5,k,e,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
monachal,8,m,l,2,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
otoscopes,9,o,s,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,2,1,0,0,0,0,0,0
superindividual,15,s,l,1,0,0,2,1,0,0,0,3,0,0,1,0,1,0,1,0,1,1,0,2,1,0,0,0,0
enjoyer,7,e,r,0,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
electrokinetic,14,e,c,0,0,2,0,3,0,0,0,2,0,1,1,0,1,1,0,0,1,0,2,0,0,0,0,0,0
hebetate,8,h,e,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
achromatically,14,a,y,3,0,2,0,0,0,0,1,1,0,0,2,1,0,1,0,0,1,0,1,0,0,0,0,1,0
nodose,6,n,e,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0
moonfish,8,m,h,0,0,0,0,0,1,0,1,1,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0
psychophysiologies,18,p,s,0,0,1,0,1,0,1,2,2,0,0,1,0,0,3,2,0,0,3,0,0,0,0,0,2,0
supraorbital,12,s,l,2,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,2,1,1,1,0,0,0,0,0
halide,6,h,e,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
precipitin,10,p,n,0,0,1,0,1,0,0,0,3,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0
tradescantia,12,t,a,3,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0
retortion,9,r,n,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,2,0,2,0,0,0,0,0,0
plummiest,9,p,t,0,0,0,0,1,0,0,0,1,0,0,1,2,0,0,1,0,0,1,1,1,0,0,0,0,0
entrechat,9,e,t,1,0,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0
forbearer,9,f,r,1,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
galvanoscope,12,g,e,2,0,1,0,1,0,1,0,0,0,0,1,0,1,2,1,0,0,1,0,0,1,0,0,0,0
meltage,7,m,e,1,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
chronometrical,14,c,l,1,0,2,0,1,0,0,1,1,0,0,1,1,1,2,0,0,2,0,1,0,0,0,0,0,0
quinze,6,q,e,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
myeline,7,m,e,0,0,0,0,2,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
starwort,8,s,t,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,0,0,1,0,0,0
metonymy,8,m,y,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,2,0
nutwood,7,n,d,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,1,0,0,0
kantar,6,k,r,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
goneness,8,g,s,0,0,0,0,2,0,1,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0
rickeys,7,r,s,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
apatosaur,9,a,r,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0
kamseen,7,k,n,1,0,0,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
barillas,8,b,s,2,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0
mimer,5,m,r,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
dobras,6,d,s,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
guayule,7,g,e,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0
rester,6,r,r,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0
catalo,6,c,o,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
cystotomy,9,c,y,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,2,0,0,0,0,2,0
